2020-06-01,6136572,107834,371911,2918
2020-06-02,6237002,100430,375489,3578
2020-06-03,6349611,112609,380144,4655
2020-06-04,6476329,126718,385793,5649
2020-06-05,6604082,127753,390968,5175
2020-06-06,6737618,133536,395745,4777
2020-06-07,6863420,125802,399564,3819
2020-06-08,6979677,116257,403063,3499
2020-06-09,7085464,105787,406290,3227
2020-06-10,7211119,125655,411221,4931
2020-06-11,7344559,133440,416457,5236
2020-06-12,7482088,137529,421222,4765
2020-06-13,7626590,144502,425951,4729
2020-06-14,7760557,133967,430150,4199
2020-06-15,7882683,122126,433283,3133
2020-06-16,8001532,118849,436657,3374
2020-06-17,8143020,141488,443514,6857
2020-06-18,8319560,176540,448757,5243
2020-06-19,8458337,138777,455079,6322
2020-06-20,8635659,177322,460093,5014
2020-06-21,8797653,161994,464311,4218
2020-06-22,8927545,129892,468289,3978
2020-06-23,9063821,136276,471714,3425
2020-06-24,9229672,165851,477291,5577
2020-06-25,9401004,171332,482489,5198
2020-06-26,9582584,181580,489208,6719
2020-06-27,9771843,189259,493917,4709
2020-06-28,9953229,181386,498550,4633
2020-06-29,10113462,160233,501597,3047
2020-06-30,10273424,159962,505309,3712
2020-07-01,10465987,192563,511041,5732
2020-07-02,10666202,200215,515972,4931
2020-07-03,10844591,178389,521115,5143
2020-07-04,11051135,206544,526237,5122
2020-07-05,11240740,189605,530581,4344
2020-07-06,11419719,178979,533961,3380
2020-07-07,11595164,175445,537815,3854
2020-07-08,11802188,207024,543906,6091
2020-07-09,12017118,214930,549276,5370
